term,pattern_type,category,action,enabled,risk_level,reason,example
如主文所示,literal,outcome_phrase,remove,TRUE,high,直接引用判決主文或刑度結果,量處如主文所示之刑
判決如下,literal,boundary_marker,remove,TRUE,high,常出現在主文或判決結論前後,經本院依簡式審判程序判決如下
據上論結,literal,boundary_marker,remove,TRUE,high,判決結論段落開頭,據上論結本件上訴為無理由
爰判決,literal,boundary_marker,remove,TRUE,high,判決結論段落用語,爰判決如下
爰裁定,literal,boundary_marker,remove,TRUE,medium,裁定結論段落用語,爰裁定命其參加訴訟
不得上訴,literal,outcome_phrase,remove,TRUE,high,直接透露裁判終局性,本判決不得上訴
不得抗告,literal,outcome_phrase,remove,TRUE,high,直接透露裁判終局性,本裁定不得抗告
訴訟費用由,literal,cost_allocation,remove,TRUE,high,費用負擔常直接透露勝敗,訴訟費用由被告負擔
訴訟費用由被告負擔,literal,cost_allocation,remove,TRUE,high,費用負擔常直接透露勝敗,訴訟費用由被告負擔
訴訟費用由原告負擔,literal,cost_allocation,remove,TRUE,high,費用負擔常直接透露勝敗,訴訟費用由原告負擔
訴訟費用由上訴人負擔,literal,cost_allocation,remove,TRUE,high,費用負擔常直接透露上訴結果,訴訟費用由上訴人負擔
訴訟費用由被上訴人負擔,literal,cost_allocation,remove,TRUE,high,費用負擔常直接透露上訴結果,訴訟費用由被上訴人負擔
原告之訴駁回,literal,outcome_phrase,remove,TRUE,high,直接透露原告敗訴,原告之訴及假執行之聲請均駁回
原告其餘之訴駁回,literal,outcome_phrase,remove,TRUE,high,直接透露部分駁回,原告其餘之訴駁回
其餘之訴駁回,literal,outcome_phrase,remove,TRUE,high,直接透露部分駁回,其餘之訴駁回
上訴駁回,literal,outcome_phrase,remove,TRUE,high,直接透露上訴結果,上訴駁回
請求駁回,literal,outcome_phrase,remove,TRUE,high,直接透露請求被駁回,請求駁回原告之訴
假執行之聲請駁回,literal,outcome_phrase,remove,TRUE,high,直接透露假執行准駁結果,假執行之聲請駁回
應予駁回,literal,outcome_phrase,remove,TRUE,high,判斷結論語,其上訴為無理由應予駁回
應予准許,literal,outcome_phrase,remove,TRUE,high,判斷結論語,尚無不合應予准許
應予維持,literal,judgment_reasoning,remove,TRUE,high,判斷結論語,原判決應予維持
應予撤銷,literal,judgment_reasoning,remove,TRUE,high,判斷結論語,原處分應予撤銷
應予廢棄,literal,judgment_reasoning,remove,TRUE,high,判斷結論語,原判決應予廢棄
不應准許,literal,judgment_reasoning,remove,TRUE,high,判斷結論語,其請求不應准許
不予准許,literal,judgment_reasoning,remove,TRUE,high,判斷結論語,不予准許
為有理由,literal,judgment_reasoning,remove,TRUE,high,判斷勝敗結論語,本件上訴為有理由
為無理由,literal,judgment_reasoning,remove,TRUE,high,判斷勝敗結論語,本件上訴為無理由
非有理由,literal,judgment_reasoning,remove,TRUE,high,判斷敗訴結論語,聲明廢棄非有理由
訴非有理由,literal,judgment_reasoning,remove,TRUE,high,行政訴訟敗訴結論語,原告之訴非有理由
均無理由,literal,judgment_reasoning,remove,TRUE,high,判斷敗訴結論語,均無理由
請求顯無理由,literal,judgment_reasoning,remove,TRUE,high,民事請求敗訴結論語,其請求顯無理由
洵屬無據,literal,judgment_reasoning,remove,TRUE,medium,法官評價語高度接近結論,原告之主張洵屬無據
不足採信,literal,judgment_reasoning,remove,TRUE,medium,法官心證語,所辯不足採信
不足採,literal,judgment_reasoning,remove,TRUE,medium,法官心證語,所辯不足採
原判決廢棄,literal,appeal_disposition,remove,TRUE,high,上訴審結論,原判決廢棄
原判決撤銷,literal,appeal_disposition,remove,TRUE,high,上訴審結論,原判決撤銷
廢棄原判決,literal,appeal_disposition,remove,TRUE,high,上訴審結論,廢棄原判決
撤銷原判決,literal,appeal_disposition,remove,TRUE,high,上訴審結論,撤銷原判決
原審判決廢棄,literal,appeal_disposition,remove,TRUE,high,上訴審結論,原審判決廢棄
原審判決撤銷,literal,appeal_disposition,remove,TRUE,high,上訴審結論,原審判決撤銷
原處分及訴願決定均撤銷,literal,administrative_disposition,remove,TRUE,high,行政訴訟結論,原處分及訴願決定均撤銷
訴願決定及原處分均撤銷,literal,administrative_disposition,remove,TRUE,high,行政訴訟結論,訴願決定及原處分均撤銷
